STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Assam,10,Nowgong,Nowgong,9,1902,1523881,801,10,8,5,1230495,60.51,
Andhra Pradesh,33,Ongole ,Ongole ,7,1707,1470212,861,20,15,13,1208904,82.23,
Maharashtra,40,Osmanabad,Osmanabad,6,1971,1759186,893,41,27,25,1119704,77.14,
Manipur,2,Outer manipur,Outer Manipur,28,1406,919009,654,10,10,8,773817,71.93,
Kerala,8,Palakkad,Palakkad,7,1027,1208529,1177,24,15,13,910476,53.06,
Jharkhand,13,Palamau,Palamau,6,1932,1645957,852,14,13,11,978159,79.75,
Maharashtra,22,Palghar ,Palghar ,6,2002,1578149,788,17,10,8,992770,82.01,
Rajasthan,15,Pali,Pali,8,2057,1902094,925,31,13,11,1097253,76.52,
Gujarat,18,Panchmahal,Panchmahal,7,1891,1576667,834,19,12,10,935016,71.82,
Maharashtra,17,Parbhani,Parbhani,6,1975,1803792,913,29,17,15,1162371,82.55,
Bihar,2,Paschim Champaran,Paschim Champaran,6,1276,1413148,1107,13,12,10,854833,71.93,
Bihar,31,Pataliputra,Pataliputra,6,1779,1736074,976,27,20,18,978795,84.68,
Gujarat,3,Patan,Patan,7,1830,1628641,890,23,14,12,956616,72.69,
Kerala,17,Pathanamthitta,Pathanamthitta,7,1205,1323320,1099,21,16,14,871251,82.55,
Punjab,13,Patiala,Patiala,9,1772,1580273,892,27,20,17,1120990,79.75,
Bihar,30,Patna Sahib,Patna Sahib,6,1818,1946249,1071,29,19,17,882768,79.31,
Andhra Pradesh,2,Peddapalle ,Peddapalle ,7,1707,1425355,835,21,17,15,1025194,71.93,
Tamil Nadu,25,Perambalur,Perambalur,6,1518,1285576,847,30,21,18,1031666,81.38,
Uttar Pradesh,51,Phulpur,Phulpur,5,1782,1913275,1074,26,15,12,960419,78.67,
Uttar Pradesh,26,Pilibhit,Pilibhit,5,1752,1671154,954,23,12,9,1050568,82.19,
Tamil Nadu,21,Pollachi,Pollachi,6,1395,1381505,990,29,18,15,1012752,67.53,
Kerala,7,Ponnani,Ponnani,7,948,1179083,1246,19,11,9,871595,51.05,
Gujarat,11,Porbandar,Porbandar,7,1664,1539223,925,16,14,12,809985,71.58,
Uttar Pradesh,39,Pratapgarh,Pratapgarh,5,1719,1716394,998,31,15,13,894524,74.02,
Puducherry,1,Puducherry,Puducherry,30,905,901292,996,41,30,27,740053,76.15,
Maharashtra,34,Pune,Pune,6,1891,1835835,971,50,29,27,993966,76.71,
Odisha,17,Puri,Puri,7,1666,1404581,843,7,7,4,1039487,82.55,
Bihar,12,Purnia,Purnia,6,1457,1582626,1086,20,17,15,1017750,75.55,
West Bengal,35,Purulia,Purulia,7,1857,1471933,793,16,12,9,1206653,72.08,
Bihar,3,Purvi Champaran,Purvi Champaran,6,1333,1439253,1080,16,15,13,822689,72.69,
Uttar Pradesh,36,Rae Bareli,Rae Bareli,5,1659,1594954,961,24,17,15,825142,78.87,
Karnataka,6,Raichur,Raichur,8,1878,1661606,885,13,11,9,969047,77.70,
Maharashtra,32,Raigad,Raigad,6,2119,1532781,723,17,10,8,988192,85.16,
West Bengal,5,Raiganj,Raiganj,7,1538,1387526,902,12,12,8,1108503,76.09,
Chhattisgarh,2,RAIGARH,Raigarh,8,2180,1626949,746,12,12,10,1246219,71.93,
Chhattisgarh,8,RAIPUR,Raipur,9,2061,1904460,924,47,36,34,1250872,53.06,
Andhra Pradesh,25,Rajahmundry,Rajahmundry,7,1439,1421276,988,16,14,12,1156626,81.38,
Andhra Pradesh,41,Rajampet,Rajampet,7,1679,1487791,886,12,9,7,1161241,78.05,
Madhya Pradesh,20,RAJGARH,Rajgarh,8,1930,1578757,818,8,6,4,1010811,80.19,
Gujarat,10,Rajkot,Rajkot,7,1690,1655717,980,28,15,13,1057783,60.51,
Jharkhand,1,Rajmahal,Rajmahal,6,1535,1353467,882,13,11,9,951755,76.15,
Chhattisgarh,6,RAJNANDGAON,Rajnandgaon,8,2211,1591373,720,27,13,11,1178305,77.70,
Rajasthan,22,Rajsamand,Rajsamand,8,1985,1701194,857,16,12,10,983032,82.01,
Tamil Nadu,35,Ramanathapuram,Ramanathapuram,6,1726,1455988,844,41,31,28,1001248,72.08,
Uttar Pradesh,7,Rampur,Rampur,5,1581,1616972,1023,15,12,10,958336,51.05,
Maharashtra,9,Ramtek ,Ramtek ,6,2231,1677266,752,30,23,21,1050640,53.30,
West Bengal,13,Ranaghat,Ranaghat,7,1944,1602849,825,9,9,6,1353623,79.75,
Jharkhand,8,Ranchi,Ranchi,6,2059,1648459,801,33,28,26,1049787,53.06,
Madhya Pradesh,24,RATLAM,Ratlam,8,1983,1702576,859,11,10,8,1083131,82.63,
Maharashtra,46,Ratnagiri - sindhudurg,Ratnagiri - Sindhudurg,6,1903,1367362,719,15,10,8,896409,75.46,
Maharashtra,4,Raver,Raver,6,1731,1593389,921,41,23,21,1011417,69.11,
Madhya Pradesh,10,REWA,Rewa,8,1635,1544719,945,17,14,11,830192,60.51,
Uttar Pradesh,80,Robertsganj,Robertsganj,5,1660,1639074,987,16,14,12,885876,60.22,
Haryana,7,Rohtak,Rohtak,9,1621,1567508,967,19,14,12,1045723,51.05,
Gujarat,5,Sabarkantha,Sabarkantha,7,2147,1615840,753,20,10,8,1095863,76.09,
Madhya Pradesh,5,SAGAR,Sagar,8,1811,1520322,839,10,10,8,892000,76.09,
Uttar Pradesh,1,Saharanpur,Saharanpur,5,1568,1608833,1026,25,14,11,1194649,76.15,
Tamil Nadu,15,Salem,Salem,6,1648,1498350,909,48,25,22,1150762,76.52,
Uttar Pradesh,71,Salempur,Salempur,5,1707,1661737,973,19,13,10,855776,59.96,
Bihar,23,Samastipur (SC),Samastipur (Sc),6,1425,1504451,1056,14,12,9,863211,77.68,
Odisha,3,Sambalpur,Sambalpur,7,1667,1297098,778,11,11,8,984697,72.69,
Uttar Pradesh,8,Sambhal,Sambhal,5,1691,1693229,1001,18,13,10,1057104,53.06,
Maharashtra,44,Sangli,Sangli,6,1725,1649107,956,34,17,15,1047510,84.16,
Punjab,12,Sangrur,Sangrur,9,1542,1424729,924,27,21,19,1100056,75.55,
Uttar Pradesh,62,Sant Kabir Nagar,Sant Kabir Nagar,5,2083,1904315,914,29,25,22,1012133,56.73,
Bihar,20,Saran,Saran,6,1438,1538740,1070,17,11,9,863592,80.19,
Chhattisgarh,1,SARGUJA,Sarguja,8,1840,1523022,828,17,14,12,1187329,76.15,
Bihar,34,Sasaram (SC),Sasaram (Sc),6,1732,1607747,928,12,11,9,847608,76.71,
Maharashtra,45,Satara,Satara,6,2242,1719998,767,26,18,17,976702,76.14,
Madhya Pradesh,9,SATNA,Satna,7,1567,1458381,931,26,14,12,913451,53.30,
Andhra Pradesh,8,Secundrabad,Secundrabad,7,1603,1893741,1181,38,30,28,1004763,53.06,
Madhya Pradesh,12,SHAHDOL,Shahdol,8,1850,1561016,844,14,14,12,969116,75.55,
Uttar Pradesh,27,Shahjahanpur,Shahjahanpur,6,2239,1979294,884,14,13,10,1130569,84.27,
Bihar,4,Sheohar,Sheohar,6,1385,1485801,1073,18,15,13,842926,69.11,
Meghalaya,1,Shillong,Shillong,36,1633,980740,601,8,8,5,620041,76.15,
Himachal Pradesh,4,Shimla,Shimla,17,1924,1153363,599,10,7,5,738047,69.11,
Karnataka,14,Shimoga,Shimoga,8,1944,1562243,804,18,13,10,1130364,81.27,
Maharashtra,38,Shirdi,Shirdi,6,1635,1462267,894,24,14,12,932893,77.47,
Maharashtra,36,Shirur,Shirur,6,2013,1824112,906,21,14,12,1089573,78.87,
Uttar Pradesh,58,Shrawasti,Shrawasti,5,1734,1788080,1031,19,14,11,980196,77.75,
Madhya Pradesh,11,SIDHI,Sidhi,8,1862,1736048,932,15,14,12,989576,71.58,
Rajasthan,5,Sikar,Sikar,8,1831,1769882,967,16,15,12,1067462,76.09,
Sikkim,1,Sikkim,Sikkim,32,538,370769,689,6,6,4,310095,76.15,
Assam,2,Silchar,Silchar,7,1188,1060175,892,17,17,15,800058,71.93,
Jharkhand,10,Singhbhum,Singhbhum,6,1356,1152632,850,12,12,10,795352,60.51,
Haryana,3,Sirsa,Sirsa,9,1678,1660556,990,25,18,15,1279271,72.69,
Bihar,5,Sitamarhi,Sitamarhi,6,1471,1574914,1071,22,19,17,900591,76.09,
Uttar Pradesh,30,Sitapur,Sitapur,5,1610,1550263,963,19,16,14,1026987,79.31,
Tamil Nadu,31,Sivaganga,Sivaganga,6,1685,1412367,838,54,27,25,1027473,84.68,
Bihar,18,Siwan,Siwan,6,1461,1563860,1070,15,13,11,884044,71.82,
Maharashtra,42,Solapur ,Solapur ,6,1751,1702739,972,49,16,14,951510,82.59,
Haryana,6,Sonipat,Sonipat,9,1475,1417187,961,29,23,20,986521,77.70,
NCT OF Delhi,7,SOUTH DELHI                   ,South Delhi                   ,10,1680,1752748,1043,26,19,17,1102849,51.05,
Goa,2,South Goa,South Goa,20,797,545316,684,14,12,10,410495,71.93,
West Bengal,27,Srerampur,Srerampur,7,1996,1624038,814,10,10,7,1291154,84.27,
Andhra Pradesh,19,Srikakulam,Srikakulam,7,1812,1413726,780,15,10,8,1054640,74.60,
Jammu & Kashmir,2,Srinagar,Srinagar,16,1546,1207230,781,16,14,12,312245,71.93,
Tamil Nadu,5,Sriperumbudur,Sriperumbudur,6,1989,1946503,979,39,21,19,1286651,76.09,
Uttar Pradesh,38,Sultanpur,Sultanpur,5,1690,1703698,1008,20,15,12,965310,77.47,
Odisha,2,Sundargarh ,Sundargarh ,7,1737,1410532,812,12,12,9,1010723,71.93,
Bihar,8,Supaul,Supaul,6,1425,1525583,1071,14,12,9,970544,53.06,
Gujarat,24,Surat,Surat,7,1500,1484068,989,12,8,6,948383,82.63,
Gujarat,9,Surendranagar,Surendranagar,7,1890,1656657,877,36,17,15,945439,53.30,
West Bengal,30,Tamluk,Tamluk,7,1855,1527273,823,10,10,8,1338336,79.31,
Uttarakhand,1,Tehri Garhwal,Tehri Garhwal,14,2079,1352614,651,20,16,14,776945,76.15,
Tamil Nadu,37,Tenkasi ,Tenkasi ,6,1590,1382081,869,22,18,15,1019436,81.53,
Assam,9,Tezpur,Tezpur,9,1763,1259568,714,11,9,7,980846,53.30,
Maharashtra,25,Thane,Thane,6,2197,2073251,944,39,26,24,1054575,81.38,
Tamil Nadu,30,Thanjavur,Thanjavur,6,1537,1340050,872,30,12,10,1012666,79.31,
Tamil Nadu,33,Theni ,Theni ,6,1620,1441302,890,44,23,21,1076690,82.23,
Tamil Nadu,1,Thiruvallur ,Thiruvallur ,6,1806,1702833,943,25,14,12,1254440,76.15,
Kerala,20,Thiruvananthapuram,Thiruvananthapuram,7,1060,1272632,1201,24,20,17,873462,80.19,
Tamil Nadu,36,Thoothukkudi,Thoothukkudi,6,1436,1310406,913,30,14,11,916913,78.87,
Kerala,10,Thrissur,Thrissur,7,1094,1274931,1166,19,14,12,920667,60.51,
Madhya Pradesh,6,TIKAMGARH,Tikamgarh,8,1612,1528863,948,16,13,11,766878,77.70,
Tamil Nadu,24,Tiruchirappalli,Tiruchirappalli,6,1497,1387140,927,37,29,27,988808,82.63,
Tamil Nadu,38,Tirunelveli,Tirunelveli,6,1617,1420435,878,37,27,25,962647,77.47,
Andhra Pradesh,40,Tirupati ,Tirupati ,7,1775,1574161,887,19,14,12,1214363,77.14,
Tamil Nadu,18,Tiruppur,Tiruppur,6,1508,1375589,912,32,26,23,1050722,71.82,
Tamil Nadu,11,Tiruvannamalai,Tiruvannamalai,6,1573,1352966,860,37,24,22,1068556,71.58,
Rajasthan,12,TONK-SAWAI MADHOPUR,Tonk-Sawai Madhopur,8,1929,1710775,887,37,22,20,1043925,75.55,
Tripura,2,Tripura East,Tripura East,30,1490,1140276,765,12,12,11,952775,71.93,
Tripura,1,Tripura West,Tripura West,30,1605,1248546,778,13,13,12,1075932,76.15,
Karnataka,19,Tumkur,Tumkur,8,1826,1518518,832,24,16,13,1102012,74.60,
Meghalaya,2,Tura ,Tura ,24,929,586501,631,2,2,0,458254,71.93,
Rajasthan,19,Udaipur,Udaipur,8,2065,1817940,880,9,8,6,1193815,74.60,
Jammu & Kashmir,5,Udhampur,Udhampur,17,2051,1469072,716,23,13,11,1042375,76.09,
Karnataka,15,Udupi Chikmagalur,Udupi Chikmagalur,8,1751,1387294,792,14,11,9,1034334,76.52,
Bihar,22,Ujiarpur,Ujiarpur,6,1323,1426217,1078,20,19,17,858925,82.01,
Madhya Pradesh,22,UJJAIN,Ujjain,8,1824,1525481,836,14,12,10,1016415,82.01,
West Bengal,26,Uluberia,Uluberia,7,1788,1448632,810,13,13,11,1187174,82.19,
Uttar Pradesh,33,Unnao,Unnao,6,2197,2164392,985,22,21,18,1201806,82.23,
Karnataka,12,Uttara Kannada,Uttara Kannada,8,1863,1450599,779,10,9,7,1001470,75.55,
Kerala,3,Vadakara,Vadakara,7,1044,1179031,1133,17,11,9,960264,72.69,
Gujarat,20,Vadodara,Vadodara,7,1591,1638321,1030,17,8,6,1162168,80.19,
Bihar,16,Vaishali,Vaishali,6,1502,1566321,1043,23,22,20,925951,81.21,
Bihar,1,Valmiki Nagar,Valmiki Nagar,6,1391,1456598,1047,15,14,12,900169,76.15,
Gujarat,26,Valsad,Valsad,7,1875,1512061,806,12,10,8,1123182,82.19,
Uttar Pradesh,77,Varanasi,Varanasi,5,1647,1766487,1073,78,42,40,1030812,51.57,
Tamil Nadu,8,Vellore,Vellore,6,1447,1312257,907,38,24,21,975203,53.06,
Madhya Pradesh,18,VIDISHA,Vidisha,8,1973,1634039,828,16,12,10,1073781,71.82,
Andhra Pradesh,29,Vijayawada,Vijayawada,7,1561,1564511,1002,31,22,20,1198985,76.64,
Tamil Nadu,13,Viluppuram,Viluppuram,6,1608,1387007,863,26,20,17,1068122,79.75,
Tamil Nadu,34,Virudhunagar,Virudhunagar,6,1526,1350490,885,37,26,23,1011713,76.71,
Andhra Pradesh,21,Visakhapatnam,Visakhapatnam,7,1785,1723011,965,26,22,20,1163582,67.53,
Andhra Pradesh,20,Vizianagaram,Vizianagaram,7,1658,1403736,847,11,9,7,1125615,80.19,
Andhra Pradesh,15,Warangal,Warangal,7,1751,1537777,878,14,12,10,1176653,76.52,
Maharashtra,8,Wardha,Wardha,6,1933,1564552,809,34,21,19,1013608,53.06,
Kerala,4,Wayanad,Wayanad,7,1073,1249123,1164,22,15,13,915138,69.11,
NCT OF Delhi,6,WEST DELHI                    ,West Delhi                    ,10,1889,2039410,1080,24,17,15,1348744,77.70,
Maharashtra,14,Yavatmal-Washim,Yavatmal-Washim,6,2009,1755292,874,44,26,24,1033402,81.27,
Andhra Pradesh,5,Zahirabad,Zahirabad,7,1757,1445354,823,15,10,8,1099784,76.09,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,