Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
EAST DELHI                    ,3,GAUTAM GAMBHIR,Bharatiya Janata Party,ARVINDER SINGH LOVELY,Indian National Congress,190463,Result Declared,MAHEISH GIRRI,Bharatiya Janata Party
NEW DELHI                     ,4,MEENAKASHI LEKHI,Bharatiya Janata Party,AJAY MAKAN,Indian National Congress,162708,Result Declared,MEENAKASHI LEKHI,Bharatiya Janata Party
NORTH EAST DELHI              ,2,MANOJ TIWARI,Bharatiya Janata Party,SHEILA DIKSHIT,Indian National Congress,144084,Result Declared,MANOJ TIWARI,Bharatiya Janata Party
NORTH WEST DELHI              ,5,HANS RAJ HANS,Bharatiya Janata Party,GUGAN SINGH,Aam Aadmi Party,106802,Result Declared,UDIT RAJ,Bharatiya Janata Party
SOUTH DELHI                   ,7,RAMESH BIDHURI,Bharatiya Janata Party,RAGHAV CHADHA,Aam Aadmi Party,107000,Result Declared,RAMESH BIDHURI,Bharatiya Janata Party
WEST DELHI                    ,6,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,MAHABAL MISHRA,Indian National Congress,268586,Result Declared,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party
Aska,19,Pramila Bisoyi,Biju Janata Dal,Anita Subhadarshini,Bharatiya Janata Party,311997,Result Declared,LADU KISHORE SWAIN,Biju Janata Dal
Balasore,6,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,RABINDRA KUMAR JENA,Biju Janata Dal,141825,Result Declared,RABINDRA KUMAR JENA,Biju Janata Dal
Bargarh,1,Suresh Pujari,Bharatiya Janata Party,Prasanna Acharya,Biju Janata Dal,11178,Result Declared,PRABHAS KUMAR SINGH,Biju Janata Dal
Berhampur,20,CHANDRA SEKHAR SAHU,Biju Janata Dal,BHRUGU BAXIPATRA,Bharatiya Janata Party,127720,Result Declared,SIDHANT MOHAPATRA,Biju Janata Dal
Bhadrak ,7,MANJULATA MANDAL,Biju Janata Dal,AVIMANYU SETHI,Bharatiya Janata Party,179359,Result Declared,ARJUN CHARAN SETHI,Biju Janata Dal
Bhubaneswar,18,APARAJITA SARANGI,Bharatiya Janata Party,Arup Mohan Patnaik,Biju Janata Dal,189477,Result Declared,PRASANNA KUMAR PATASANI,Biju Janata Dal
Bolangir,10,Sangeeta Kumari Singh Deo,Bharatiya Janata Party,Kalikesh Narayan Singh Deo,Biju Janata Dal,104299,Result Declared,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal
Cuttack,14,BHARTRUHARI MAHTAB,Biju Janata Dal,PRAKASH MISHRA,Bharatiya Janata Party,306762,Result Declared,BHARTRUHARI MAHATAB,Biju Janata Dal
Dhenkanal,9,MAHESH SAHOO,Biju Janata Dal,RUDRA NARAYAN PANY,Bharatiya Janata Party,137340,Result Declared,TATHAGATA SATPATHY,Biju Janata Dal
Jagatsinghpur ,16,RAJASHREE MALLICK,Biju Janata Dal,BIBHU PRASAD TARAI,Bharatiya Janata Party,276394,Result Declared,KULAMANI SAMAL,Biju Janata Dal
Puducherry,1,Ve. VAITHILINGAM,Indian National Congress,Dr. NARAYANASAMY KESAVAN,All India N.R. Congress,60854,Result Declared,R. RADHAKRISHNAN,All India N.R. Congress
Amritsar,2,GURJEET SINGH AUJLA,Indian National Congress,HARDEEP SINGH PURI,Bharatiya Janata Party,102770,Result Declared,CAPTAIN AMARINDER SINGH,Indian National Congress
Anandpur Sahib,6,Manish Tewari,Indian National Congress,Professor Prem Singh Chandumajra,Shiromani Akali Dal,23697,Result Declared,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal
Bathinda,11,Harsimrat Kaur Badal,Shiromani Akali Dal,Amrinder Singh Raja Warring,Indian National Congress,19395,Result Declared,HARSIMRAT KAUR BADAL,Shiromani Akali Dal
Faridkot,9,Mohammad Sadique,Indian National Congress,Gulzar Singh Ranike,Shiromani Akali Dal,172516,Result Declared,PROF. SADHU SINGH,Aam Aadmi Party
Fatehgarh Sahib,8,AMAR SINGH,Indian National Congress,DARBARA SINGH GURU,Shiromani Akali Dal,54144,Result Declared,HARINDER SINGH KHALSA,Aam Aadmi Party
Firozpur,10,SUKHBIR SINGH BADAL,Shiromani Akali Dal,SHER SINGH GHUBAYA,Indian National Congress,31420,Result Declared,SHER SINGH GHUBAYA,Shiromani Akali Dal
Gurdaspur,1,SUNNY DEOL,Bharatiya Janata Party,SUNIL JAKHAR,Indian National Congress,136065,Result Declared,VINOD KHANNA,Bharatiya Janata Party
Hoshiarpur,5,SOM PARKASH,Bharatiya Janata Party,Dr. RAJ KUMAR CHABBEWAL,Indian National Congress,13582,Result Declared,VIJAY SAMPLA,Bharatiya Janata Party
Jalandhar,4,Santokh Singh Chaudhary,Indian National Congress,Charanjit Singh Atwal,Shiromani Akali Dal,70981,Result Declared,SANTOKH SINGH CHAUDHARY,Indian National Congress
Khadoor Sahib,3,JASBIR SINGH GILL (DIMPA),Indian National Congress,BIBI JAGIR KAUR,Shiromani Akali Dal,100569,Result Declared,RANJIT SINGH BRAHMPURA,Shiromani Akali Dal
Ajmer,13,Bhagirath Chaudhary,Bharatiya Janata Party,Riju Jhunjhunwala,Indian National Congress,171983,Result Declared,SANWAR LAL JAT ,Bharatiya Janata Party
Alwar,8,Balak Nath,Bharatiya Janata Party,Bhanwar Jitendra Singh,Indian National Congress,283895,Result Declared,CHAND NATH,Bharatiya Janata Party
Banswara,20,KANAKMAL KATARA,Bharatiya Janata Party,TARACHAND BHAGORA,Indian National Congress,91916,Result Declared,MANSHANKAR NINAMA ,Bharatiya Janata Party
Barmer,17,KAILASH CHOUDHARY,Bharatiya Janata Party,MANVENDRA SINGH,Indian National Congress,87461,Result Declared,COL. SONA RAM,Bharatiya Janata Party
BHARATPUR,9,RANJEETA KOLI,Bharatiya Janata Party,ABHIJEET KUMAR JATAV,Indian National Congress,245468,Result Declared,BAHADUR SINGH KOLI,Bharatiya Janata Party
Bhilwara,23,SUBHASH CHANDRA BAHERIA,Bharatiya Janata Party,RAM PAL SHARMA,Indian National Congress,246264,Result Declared,SUBHASH BAHERIA,Bharatiya Janata Party
Bikaner,2,ARJUN RAM MEGHWAL,Bharatiya Janata Party,MADAN GOPAL MEGHWAL,Indian National Congress,308079,Result Declared,ARJUN RAM MEGHWAL ,Bharatiya Janata Party
Chittorgarh,21,Chandra Prakash Joshi,Bharatiya Janata Party,Gopal Singh Shekhawat,Indian National Congress,316857,Result Declared,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party
Churu,3,RAHUL KASWAN,Bharatiya Janata Party,RAFIQUE MANDELIA,Indian National Congress,294739,Result Declared,RAHUL KASWAN ,Bharatiya Janata Party
Dausa,11,Jaskaur Meena,Bharatiya Janata Party,Savita Meena,Indian National Congress,45404,Result Declared,HARISH CHANDRA MEENA ,Bharatiya Janata Party
Sikkim,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,DEK BAHADUR KATWAL,Sikkim Democratic Front,41742,Result Declared,PREM DAS RAI,Sikkim Democratic Front
Arakkonam,7,S. JAGATHRAKSHAKAN,Dravida Munnetra Kazhagam,A.K. MOORTHY,Pattali Makkal Katchi,240766,Result Declared,"HARI, G.",All India Anna Dravida Munnetra Kazhagam
Arani,12,VISHNU PRASAD M K,Indian National Congress,ELUMALAI V,All India Anna Dravida Munnetra Kazhagam,243844,Result Declared,V.ELUMALAI,All India Anna Dravida Munnetra Kazhagam
Chennai central,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,SAM PAUL. S.R.,Pattali Makkal Katchi,45841,Result Declared,S.R. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam
Chennai North,2,Dr. KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,ALAGAAPURAM R. MOHANRAJ,Desiya Murpokku Dravida Kazhagam,99704,Result Declared,VENKATESH BABU .T.G,All India Anna Dravida Munnetra Kazhagam
Chennai South,3,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,Dr.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,135575,Result Declared,DR. J. JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam
Chidambaram ,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,CHANDRASEKAR P,All India Anna Dravida Munnetra Kazhagam,128495,Result Declared,"CHANDRAKASI, M",All India Anna Dravida Munnetra Kazhagam
Coimbatore,20,NATARAJAN. P.R,Communist Party of India  (Marxist),RADHAKRISHNAN. C.P,Bharatiya Janata Party,42016,Result Declared,"NAGARAJAN, P.",All India Anna Dravida Munnetra Kazhagam
Cuddalore ,26,T. R. V .S. RAMESH,Dravida Munnetra Kazhagam,Dr. R. GOVINDASAMY,Pattali Makkal Katchi,203125,Result Declared,ARUNMOZHITHEVAN.A,All India Anna Dravida Munnetra Kazhagam
Dharmapuri,10,DNV SENTHILKUMAR. S.,Dravida Munnetra Kazhagam,ANBUMANI RAMADOSS,Pattali Makkal Katchi,77146,Result Declared,ANBUMANI RAMADOSS,Pattali Makkal Katchi
Dindigul,22,"VELUSAMY, P.",Dravida Munnetra Kazhagam,"JOTHIMUTHU, K.",Pattali Makkal Katchi,127845,Result Declared,UDHAYA KUMAR .M,All India Anna Dravida Munnetra Kazhagam
Adilabad ,1,SOYAM BAPU RAO,Bharatiya Janata Party,Godam Nagesh,Telangana Rashtra Samithi,171290,Result Declared,GODAM NAGESH,Telangana Rashtra Samithi
Bhongir ,14,Komati Reddy Venkat Reddy,Indian National Congress,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,30544,Result Declared,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi
CHELVELLA,10,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,Konda Vishweshwar Reddy,Indian National Congress,73023,Result Declared,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,Dr. BHAGAVANTH RAO,Bharatiya Janata Party,202454,Result Declared,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
Karimnagar ,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,BOIANAPALLI VINOD KUMAR,Telangana Rashtra Samithi,204652,Result Declared,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi
Khammam ,17,NAMA NAGESWR RAO,Telangana Rashtra Samithi,RENUKA CHOWDHURY,Indian National Congress,12204,Result Declared,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party
Mahabubabad  ,16,Kavitha Malothu,Telangana Rashtra Samithi,Balaram Naik Porika,Indian National Congress,34992,Result Declared,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi
Mahbubnagar,11,MANNE SRINIVAS REDDY,Telangana Rashtra Samithi,ARUNA D.K,Bharatiya Janata Party,2590,Result Declared,AP JITHENDER REDDY,Telangana Rashtra Samithi
Malkajgiri,7,ANUMULA REVANTH REDDY,Indian National Congress,RAJASHEKAR REDDY MARRI,Telangana Rashtra Samithi,28166,Result Declared,CH.MALLA REDDY,Telugu Desam
Medak,6,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,Anil Kumar Gali,Indian National Congress,397029,Result Declared,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi
Tripura East,2,Rebati Tripura,Bharatiya Janata Party,Maharaj kumari Pragya DebBurman,Indian National Congress,484358,Result Declared,JITENDRA CHAUDHURY,Communist Party of India  (Marxist)
Tripura West,1,Pratima Bhoumik,Bharatiya Janata Party,Subal Bhowmik,Indian National Congress,503486,Result Declared,SANKAR PRASAD DATTA,Communist Party of India  (Marxist)
Agra,18,Satyapal Singh Baghel,Bharatiya Janata Party,Manoj Kumar Soni,Bahujan Samaj Party,300263,Result Declared,DR. RAM SHANKAR KATHERIA,Bharatiya Janata Party
Akbarpur,44,Devendra Singh 'Bhole',Bharatiya Janata Party,Nisha Sachan,Bahujan Samaj Party,278997,Result Declared,DEVENDRA SINGH @ BHOLE SINGH,Bharatiya Janata Party
Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,DR. AJEET BALIYAN,Bahujan Samaj Party,286736,Result Declared,SATISH KUMAR,Bharatiya Janata Party
Allahabad,52,Rita Bahuguna Joshi,Bharatiya Janata Party,Rajendra Singh Patel,Samajwadi Party,62009,Result Declared,SHYAMA CHARAN GUPTA,Bharatiya Janata Party
Ambedkar Nagar,55,Ritesh Pandey,Bahujan Samaj Party,Mukut Bihari,Bharatiya Janata Party,139429,Result Declared,HARI OM PANDEY,Bharatiya Janata Party
Amethi,37,Smriti Irani,Bharatiya Janata Party,Rahul Gandhi,Indian National Congress,107903,Result Declared,RAHUL GANDHI,Indian National Congress
Amroha,9,KUNWAR DANISH ALI,Bahujan Samaj Party,KANWAR SINGH TANWAR,Bharatiya Janata Party,158214,Result Declared,KANWAR SINGH TANWAR,Bharatiya Janata Party
Aonla,24,DHARMENDRA KASHYAP,Bharatiya Janata Party,RUCHIVIRA,Bahujan Samaj Party,138429,Result Declared,DHARMENDRA KUMAR,Bharatiya Janata Party
Azamgarh,69,Akhilesh Yadav,Samajwadi Party,Dinesh Lal Yadav Nirahua,Bharatiya Janata Party,63204,Result Declared,MULAYAM SINGH YADAV,Samajwadi Party
Badaun,23,Dr. Sanghmitra Maurya,Bharatiya Janata Party,Dharmendra Yadav,Samajwadi Party,166347,Result Declared,DHARMENDRA YADAV,Samajwadi Party
Almora,3,Ajay Tamta,Bharatiya Janata Party,Pradeep Tamta,Indian National Congress,95690,Result Declared,AJAY TAMTA,Bharatiya Janata Party
Garhwal,2,Tirath Singh Rawat,Bharatiya Janata Party,Manish Khanduri,Indian National Congress,184526,Result Declared,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janata Party
Hardwar,5,Ramesh Pokhriyal 'Nishank',Bharatiya Janata Party,Ambrish Kumar,Indian National Congress,177822,Result Declared,RAMESH POKHRIYAL NISHANK,Bharatiya Janata Party
Nainital-udhamsingh Nagar,4,Ajay Bhatt,Bharatiya Janata Party,Harish Rawat,Indian National Congress,284717,Result Declared,BHAGAT SINGH KOSHYARI,Bharatiya Janata Party
Tehri Garhwal,1,MALA RAJYA LAXMI SHAH,Bharatiya Janata Party,PRITAM SINGH,Indian National Congress,192503,Result Declared,MALA RAJYA LAXMI SHAH,Bharatiya Janata Party
Alipurduars,2,JOHN BARLA,Bharatiya Janata Party,DASRATH TIRKEY,All India Trinamool Congress,21397,Result Declared,DASRATH TIRKEY,All India Trinamool Congress
Arambagh,29,APARUPA PODDAR (AFRIN ALI),All India Trinamool Congress,TAPAN KUMAR RAY,Bharatiya Janata Party,346845,Result Declared,APARUPA PODDAR (AFRIN ALI),All India Trinamool Congress
Asansol,40,BABUL SUPRIYO,Bharatiya Janata Party,MOON MOON SEN,All India Trinamool Congress,70480,Result Declared,BABUL SUPRIYA BARAL (BABUL SUPRIYO),Bharatiya Janata Party
Baharampur,10,ADHIR RANJAN CHOWDHURY,Indian National Congress,APURBA SARKAR (DAVID),All India Trinamool Congress,356567,Result Declared,ADHIR RANJAN CHOWDHURY,Indian National Congress
Balurghat,6,Sukanta Majumdar,Bharatiya Janata Party,Arpita Ghosh,All India Trinamool Congress,106964,Result Declared,ARPITA GHOSH,All India Trinamool Congress
Bangaon,14,SHANTANU THAKUR,Bharatiya Janata Party,MAMATA THAKUR,All India Trinamool Congress,146601,Result Declared,KAPIL KRISHNA THAKUR,All India Trinamool Congress
Bankura,36,DR. SUBHAS SARKAR,Bharatiya Janata Party,SUBRATA MUKHERJEE,All India Trinamool Congress,98506,Result Declared,SREEMATI  DEV VARMA (MOON MOON SEN),All India Trinamool Congress
Barasat,17,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,Mrinal Kanti Debnath,Bharatiya Janata Party,173141,Result Declared,DR. KAKALI GHOSHDOSTIDAR,All India Trinamool Congress
Bardhaman Purba,38,SUNIL KUMAR MONDAL,All India Trinamool Congress,PARESH CHANDRA DAS,Bharatiya Janata Party,114379,Result Declared,SUNIL KUMAR MONDAL,All India Trinamool Congress
Barrackpore,15,ARJUN SINGH,Bharatiya Janata Party,DINESH TRIVEDI,All India Trinamool Congress,206773,Result Declared,DINESH TRIVEDI,All India Trinamool Congress
Kakinada,6,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,Telugu Desam,3431,Result Declared,THOTA NARASIMHAM,Telugu Desam
Kurnool,18,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,44131,Result Declared,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party
Machilipatnam ,11,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,KONAKALLA NARAYANA RAO,Telugu Desam,81057,Result Declared,KONAKALLA NARAYANA RAO,Telugu Desam
Nandyal,17,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,MANDRA SIVANANDA REDDY,Telugu Desam,105766,Result Declared,S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party
Narasaraopet,14,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,RAYAPATI SAMBASIVARAO,Telugu Desam,35280,Result Declared,SAMBASIVA RAO RAYAPATI,Telugu Desam
Narsapuram,9,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,85351,Result Declared,GOKARAJU GANGA RAJU,Bharatiya Janata Party
Nellore,22,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,Beeda Masthan Rao,Telugu Desam,13478,Result Declared,MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party
Ongole ,16,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,SIDDA RAGHAVA RAO,Telugu Desam,15559,Result Declared,Y.V.SUBBA REDDY,Yuvajana Sramika Rythu Congress Party
Rajahmundry,8,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,MAGANTI ROOPA,Telugu Desam,167434,Result Declared,MURALI MOHAN MAGANTI,Telugu Desam
Rajampet,24,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,D A SATHYA PRABHA,Telugu Desam,174762,Result Declared,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party
Srikakulam,2,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,127692,Result Declared,RAMMOHAN NAIDU KINJARAPU,Telugu Desam
Tirupati ,23,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,Panabaka Lakshmi,Telugu Desam,37425,Result Declared,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party
Vijayawada,12,KESINENI SRINIVAS (NANI),Telugu Desam,POTLURI.V.PRASAD ( P V P ),Yuvajana Sramika Rythu Congress Party,74714,Result Declared,KESINENI SRINIVAS (NANI),Telugu Desam
Visakhapatnam,4,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,BHARAT MATHUKUMILLI,Telugu Desam,90488,Result Declared,KAMBHAMPATI HARI BABU,Bharatiya Janata Party
Vizianagaram,3,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,Ashok Gajapathi Raju Pusapati,Telugu Desam,106911,Result Declared,ASHOK GAJAPATHI RAJU PUSAPATI,Telugu Desam
Mangaldoi,8,DILIP SAIKIA,Bharatiya Janata Party,BHUBANESWAR KALITA,Indian National Congress,22884,Result Declared,RAMEN DEKA,Bharatiya Janata Party
Nowgong,10,Pradyut Bordoloi,Indian National Congress,Sri Rupak Sharma,Bharatiya Janata Party,143559,Result Declared,RAJEN GOHAIN ,Bharatiya Janata Party
Silchar,2,RAJDEEP ROY,Bharatiya Janata Party,SUSHMITA DEV,Indian National Congress,35241,Result Declared,SUSHMITA DEV  ,Indian National Congress
Tezpur,9,PALLAB LOCHAN DAS,Bharatiya Janata Party,M.G.V.K. BHANU,Indian National Congress,86020,Result Declared,RAM PRASAD SARMAH,Bharatiya Janata Party
Hajipur (SC),21,PASHU PATI KUMAR PARAS,Lok Jan Shakti Party,SHIV CHANDRA RAM,Rashtriya Janata Dal,225500,Result Declared,RAMVILAS PASWAN,Lok Jan Shakti Party
Jahanabad,36,CHANDESHWAR PRASAD,Janata Dal  (United),SURENDRA PRASAD YADAV,Rashtriya Janata Dal,42340,Result Declared,DR. ARUN KUMAR,Rashtriya Lok Samta Party
Jamui (SC),40,CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,BHUDEO CHOUDHARY,Rashtriya Lok Samta Party,85947,Result Declared,CHIRAG KUMAR PASWAN,Lok Jan Shakti Party
Jhanjharpur,7,Ramprit Mandal,Janata Dal  (United),GULAB YADAV,Rashtriya Janata Dal,55408,Result Declared,BIRENDRA KUMAR CHAUDHARY,Bharatiya Janata Party
Karakat,35,MAHABALI SINGH,Janata Dal  (United),UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,105241,Result Declared,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party
Katihar,11,DULAL CHANDRA GOSWAMI,Janata Dal  (United),TARIQ ANWAR,Indian National Congress,114740,Result Declared,TARIQ ANWAR,Nationalist Congress Party
Khagaria,25,Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,Mukesh Sahani,Vikassheel Insaan Party,76003,Result Declared,CHOUDHARY MAHBOOB ALI KAISER,Lok Jan Shakti Party
Kishanganj,10,Dr. Mohammad Jawed,Indian National Congress,Syed Mahmood Ashraf,Janata Dal  (United),194612,Result Declared,MOHAMMAD ASRARUL HAQUE,Indian National Congress
Madhepura,13,Dinesh Chandra Yadav,Janata Dal  (United),Sharad Yadav,Rashtriya Janata Dal,56209,Result Declared,RAJESH RANJAN @ PAPPU YADAV,Rashtriya Janata Dal
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,BADRI KUMAR PURBEY,Vikassheel Insaan Party,20535,Result Declared,HUKM DEO NARAYAN YADAV,Bharatiya Janata Party
Maharajganj,19,"Janardan Singh 'Sigriwal""",Bharatiya Janata Party,Randhir Kumar Singh,Rashtriya Janata Dal,38415,Result Declared,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),NILAM DEVI,Indian National Congress,109084,Result Declared,VEENA DEVI,Lok Jan Shakti Party
Muzaffarpur,15,Ajay Nishad,Bharatiya Janata Party,Raj Bhushan Choudhary,Vikassheel Insaan Party,222422,Result Declared,AJAY NISHAD,Bharatiya Janata Party
Nalanda,29,Kaushlendra Kumar,Janata Dal  (United),Ashok Kumar Azad,Hindustani Awam Morcha (Secular),9627,Result Declared,KAUSHLENDRA KUMAR,Janata Dal  (United)
Nawada,39,Chandan Singh,Lok Jan Shakti Party,Vibha Devi,Rashtriya Janata Dal,140157,Result Declared,GIRIRAJ SINGH,Bharatiya Janata Party
Paschim Champaran,2,DR. SANJAY JAISWAL,Bharatiya Janata Party,BRIJESH KUMAR KUSHWAHA,Rashtriya Lok Samta Party,110254,Result Declared,DR. SANJAY JAISWAL,Bharatiya Janata Party
Pataliputra,31,RAM KRIPAL YADAV,Bharatiya Janata Party,MISHA BHARTI,Rashtriya Janata Dal,40322,Result Declared,RAM KRIPAL YADAV,Bharatiya Janata Party
Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,SHATRUGHAN SINHA,Indian National Congress,265805,Result Declared,SHATRUGHANA SINHA,Bharatiya Janata Party
Purnia,12,SANTOSH KUMAR,Janata Dal  (United),UDAY SINGH ALIAS PAPPU SINGH,Indian National Congress,116669,Result Declared,SANTOSH KUMAR,Janata Dal  (United)
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,AAKASH KUMAR SINGH,Rashtriya Lok Samta Party,192163,Result Declared,RADHA MOHAN SINGH,Bharatiya Janata Party
Samastipur (SC),23,Ramchandra Paswan,Lok Jan Shakti Party,Dr. Ashok Kumar,Indian National Congress,6872,Result Declared,RAM CHANDRA PASWAN,Lok Jan Shakti Party
Saran,20,Rajiv Pratap Rudy,Bharatiya Janata Party,Chandrika Roy,Rashtriya Janata Dal,40948,Result Declared,RAJIV PRATAP RUDY,Bharatiya Janata Party
Sasaram (SC),34,CHHEDI PASWAN,Bharatiya Janata Party,MEIRA KUMAR,Indian National Congress,63327,Result Declared,CHHEDI PASWAN,Bharatiya Janata Party
Sheohar,4,RAMA DEVI,Bharatiya Janata Party,SYED FAISAL ALI,Rashtriya Janata Dal,136239,Result Declared,RAMA DEVI,Bharatiya Janata Party
Sitamarhi,5,Sunil Kumar Pintu,Janata Dal  (United),Arjun Ray,Rashtriya Janata Dal,147965,Result Declared,RAM KUMAR SHARMA,Rashtriya Lok Samta Party
Siwan,18,Kavita Singh,Janata Dal  (United),Hena Shahab,Rashtriya Janata Dal,113847,Result Declared,OM PRAKASH YADAV,Bharatiya Janata Party
Supaul,8,Dileshwar Kamait,Janata Dal  (United),Ranjeet Ranjan,Indian National Congress,59672,Result Declared,RANJEET RANJAN,Indian National Congress
Ujiarpur,22,Nityanand Rai,Bharatiya Janata Party,Upendra Kushwaha,Rashtriya Lok Samta Party,60469,Result Declared,NITYANAND RAI,Bharatiya Janata Party
Vaishali,16,Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,Raghuvansh Prasad Singh,Rashtriya Janata Dal,99267,Result Declared,RAMA KISHORE SINGH,Lok Jan Shakti Party
Valmiki Nagar,1,BAIDYANATH PRASAD MAHTO,Janata Dal  (United),SHASHWAT KEDAR,Indian National Congress,117795,Result Declared,SATISH CHANDRA DUBEY,Bharatiya Janata Party
