Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
Kallakurichi,14,Gautham Sigamani Pon,Dravida Munnetra Kazhagam,Sudhish L K,Desiya Murpokku Dravida Kazhagam,223507,Result Declared,KAMARAJ. K,All India Anna Dravida Munnetra Kazhagam
Kancheepuram ,6,Selvam.G,Dravida Munnetra Kazhagam,Maragatham K,All India Anna Dravida Munnetra Kazhagam,146866,Result Declared,MARAGATHAM  K,All India Anna Dravida Munnetra Kazhagam
Kanniyakumari,39,Vasanthakumar. H,Indian National Congress,RADHAKRISHNAN. P,Bharatiya Janata Party,128662,Result Declared,RADHAKRISHNAN P.,Bharatiya Janata Party
Karur,23,Jothimani S,Indian National Congress,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,195247,Result Declared,"THAMBIDURAI,M.",All India Anna Dravida Munnetra Kazhagam
Krishnagiri,9,Dr.A.CHELLAKUMAR,Indian National Congress,K.P.MUNUSAMY,All India Anna Dravida Munnetra Kazhagam,206591,Result Declared,ASHOK KUMAR.K,All India Anna Dravida Munnetra Kazhagam
Madurai,32,VENKATESAN S,Communist Party of India  (Marxist),RAJ SATYEN V.V.R,All India Anna Dravida Munnetra Kazhagam,199424,Result Declared,R.GOPALAKRISHNAN,All India Anna Dravida Munnetra Kazhagam
Mayiladuthurai,28,RAMALINGAM. S,Dravida Munnetra Kazhagam,ASAIMANI. S,All India Anna Dravida Munnetra Kazhagam,277050,Result Declared,BHARATHI MOHAN R.K,All India Anna Dravida Munnetra Kazhagam
Nagapattinam ,29,SELVARAJ M,Communist Party of India,SARAVANAN M,All India Anna Dravida Munnetra Kazhagam,106079,Result Declared,GOPAL. DR. K,All India Anna Dravida Munnetra Kazhagam
Namakkal,16,CHINRAJ A.K.P,Dravida Munnetra Kazhagam,KALIAPPAN P,All India Anna Dravida Munnetra Kazhagam,294374,Result Declared,SUNDARAM P.R,All India Anna Dravida Munnetra Kazhagam
Nilgiris ,19,"RAJA, A.",Dravida Munnetra Kazhagam,"THIYAGARAJAN, M.",All India Anna Dravida Munnetra Kazhagam,104940,Result Declared,"GOPALAKRISHNAN, C.",All India Anna Dravida Munnetra Kazhagam
Perambalur,25,"Dr.PAARIVENDHAR, T. R",Dravida Munnetra Kazhagam,"SIVAPATHY, N.R",All India Anna Dravida Munnetra Kazhagam,213048,Result Declared,"MARUTHARAJAA, R.P.",All India Anna Dravida Munnetra Kazhagam
Pollachi,21,SHANMUGA SUNDARAM. K,Dravida Munnetra Kazhagam,MAHENDRAN. C,All India Anna Dravida Munnetra Kazhagam,140974,Result Declared,MAHENDRAN.C,All India Anna Dravida Munnetra Kazhagam
Ramanathapuram,35,K. NAVASKANI,Indian Union Muslim League,NAINAR NAGENTHRAN,Bharatiya Janata Party,119324,Result Declared,ANWAR RAAJHAA. A ,All India Anna Dravida Munnetra Kazhagam
Salem,15,PARTHIBAN.S.R,Dravida Munnetra Kazhagam,SARAVANAN.K.R.S,All India Anna Dravida Munnetra Kazhagam,267610,Result Declared,PANNERSELVAM.V,All India Anna Dravida Munnetra Kazhagam
Sivaganga,31,KARTI P CHIDAMBARAM,Indian National Congress,H.RAJA,Bharatiya Janata Party,229385,Result Declared,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam
Sriperumbudur,5,Baalu.T.R.,Dravida Munnetra Kazhagam,Vaithilingam A,Pattali Makkal Katchi,102646,Result Declared,"RAMACHANDRAN, K.N. THIRU",All India Anna Dravida Munnetra Kazhagam
Tenkasi ,37,DHANUSH.M.KUMAR,Dravida Munnetra Kazhagam,Dr.KRISHNASAMY.K,All India Anna Dravida Munnetra Kazhagam,161774,Result Declared,VASANTHI.M,All India Anna Dravida Munnetra Kazhagam
Thanjavur,30,"PALANIMANICKAM,S.S.",Dravida Munnetra Kazhagam,"NATARAJAN,N.R .",Tamil Maanila Congress  (Moopanar),144119,Result Declared,PARASURAMAN.K,All India Anna Dravida Munnetra Kazhagam
Theni ,33,"RAVEENDRANATH KUMAR, P",All India Anna Dravida Munnetra Kazhagam,"ELANGOVAN, E.V.K.S.",Indian National Congress,314532,Result Declared,"PARTHIPAN, R.",All India Anna Dravida Munnetra Kazhagam
Thiruvallur ,1,Dr.K.Jayakumar,Indian National Congress,Dr.P.Venugopal,All India Anna Dravida Munnetra Kazhagam,323430,Result Declared,VENUGOPAL.P.(DR),All India Anna Dravida Munnetra Kazhagam
Thoothukkudi,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,DR. TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,124002,Result Declared,JEYASINGH THIYAGARAJ NATTERJEE.J,All India Anna Dravida Munnetra Kazhagam
Tiruchirappalli,24,Thirunavukkarasar. SU,Indian National Congress,DR.Elangovan. V,Desiya Murpokku Dravida Kazhagam,150476,Result Declared,KUMAR.P,All India Anna Dravida Munnetra Kazhagam
Tirunelveli,38,GNANATHIRAVIAM S,Dravida Munnetra Kazhagam,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,126099,Result Declared,PRABAKARAN.K.R.P,All India Anna Dravida Munnetra Kazhagam
Tiruppur,18,"SUBBARAYAN, K.",Communist Party of India,"ANANDAN, M.S.M.",All India Anna Dravida Munnetra Kazhagam,179315,Result Declared,V.SATHYABAMA,All India Anna Dravida Munnetra Kazhagam
Tiruvannamalai,11,ANNADURAI C N,Dravida Munnetra Kazhagam,AGRI KRISHNAMURTHY S S,All India Anna Dravida Munnetra Kazhagam,168606,Result Declared,VANAROJA R,All India Anna Dravida Munnetra Kazhagam
Viluppuram,13,RAVIKUMAR D,Dravida Munnetra Kazhagam,VADIVEL RAVANAN S,Pattali Makkal Katchi,193367,Result Declared,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam
Virudhunagar,34,"MANICKAM TAGORE, B.",Indian National Congress,"ALAGARSAMY, R.",Desiya Murpokku Dravida Kazhagam,145551,Result Declared,RADHAKRISHNAN T,All India Anna Dravida Munnetra Kazhagam
Nagarkurnool,12,POTHUGANTI RAMULU,Telangana Rashtra Samithi,DR MALLU RAVI,Indian National Congress,16676,Result Declared,YELLAIAH NANDI,Indian National Congress
Nalgonda,13,UTTAM KUMAR REDDY NALAMADA,Indian National Congress,VEMIREDDY NARASIMHA REDDY,Telangana Rashtra Samithi,193156,Result Declared,GUTHA SUKHENDER REDDY,Indian National Congress
Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,167184,Result Declared,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi
Peddapalle ,2,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,Agam Chandrasekhar,Indian National Congress,291158,Result Declared,BALKA SUMAN,Telangana Rashtra Samithi
Secundrabad,8,G . KISHAN REDDY,Bharatiya Janata Party,TALASANI SAI KIRAN YADAV,Telangana Rashtra Samithi,254735,Result Declared,BANDARU DATTATREYA,Bharatiya Janata Party
Warangal,15,DAYAKAR PASUNOORI,Telangana Rashtra Samithi,DOMMATI SAMBAIAH,Indian National Congress,392574,Result Declared,KADIYAM SRIHARI,Telangana Rashtra Samithi
Zahirabad,5,B.B.PATIL,Telangana Rashtra Samithi,MADAN MOHAN RAO,Indian National Congress,144631,Result Declared,B.B. PATIL,Telangana Rashtra Samithi
Baghpat,11,Dr. SATYAPAL SINGH,Bharatiya Janata Party,JAYANT CHAUDHARY,Rashtriya Lok Dal,209866,Result Declared,DR. SATYA PAL SINGH,Bharatiya Janata Party
Bahraich,56,AKSHAIBAR LAL,Bharatiya Janata Party,SHABBIR BALMIKI,Samajwadi Party,95645,Result Declared,SADHVI SAVITRI BAI FOOLE,Bharatiya Janata Party
Ballia,72,Virendra Singh,Bharatiya Janata Party,Sanatan Pandey,Samajwadi Party,139434,Result Declared,BHARAT SINGH,Bharatiya Janata Party
Banda,48,R.K. SINGH PATEL,Bharatiya Janata Party,SHYAMA CHARAN GUPTA,Samajwadi Party,115788,Result Declared,BHAIRON PRASAD MISHRA,Bharatiya Janata Party
Bansgaon,67,Kamlesh Paswan,Bharatiya Janata Party,Sadal Prasad,Bahujan Samaj Party,189516,Result Declared,KAMLESH PASWAN,Bharatiya Janata Party
Barabanki,53,Upendra Singh Rawat,Bharatiya Janata Party,Ram Sagar Rawat,Samajwadi Party,211878,Result Declared,PRIYANKA SINGH RAWAT,Bharatiya Janata Party
Bareilly,25,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,240685,Result Declared,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party
Basti,61,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,33562,Result Declared,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,Bharatiya Janata Party
Bhadohi,78,RAMESH CHAND,Bharatiya Janata Party,RANGNATH MISHRA,Bahujan Samaj Party,158141,Result Declared,VIRENDRA SINGH,Bharatiya Janata Party
Bijnor,4,MALOOK NAGAR,Bahujan Samaj Party,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,205774,Result Declared,KUNWAR BHARTENDRA,Bharatiya Janata Party
Bulandshahr,14,BHOLA SINGH,Bharatiya Janata Party,YOGESH VERMA,Bahujan Samaj Party,421973,Result Declared,BHOLA SINGH,Bharatiya Janata Party
Chandauli,76,Dr. Mahendra Nath Pandey,Bharatiya Janata Party,Sanjay Singh Chauhan,Samajwadi Party,156756,Result Declared,DR MAHENDRA NATH PANDEY,Bharatiya Janata Party
Deoria,66,RAMAPATI RAM TRIPATHI,Bharatiya Janata Party,BINOD KUMAR JAISWAL,Bahujan Samaj Party,265386,Result Declared,KALRAJ MISHRA,Bharatiya Janata Party
Dhaurahra,29,REKHA VERMA,Bharatiya Janata Party,ARSHAD ILIYAS SIDDIQUI,Bahujan Samaj Party,125675,Result Declared,REKHA,Bharatiya Janata Party
Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,AFTAB ALAM,Bahujan Samaj Party,103588,Result Declared,JAGDAMBIKA PAL,Bharatiya Janata Party
Etah,22,Rajveer Singh (Raju Bhaiya),Bharatiya Janata Party,Ku. Devendra Singh Yadav,Samajwadi Party,201001,Result Declared,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party
Etawah,41,Dr RAM SHANKAR KATHERIA,Bharatiya Janata Party,KAMLESH KUMAR,Samajwadi Party,172946,Result Declared,ASHOK KUMAR DOHAREY,Bharatiya Janata Party
Faizabad,54,LALLU SINGH,Bharatiya Janata Party,ANAND SEN,Samajwadi Party,282775,Result Declared,LALLU SINGH,Bharatiya Janata Party
Farrukhabad,40,Mukesh Rajput,Bharatiya Janata Party,Manoj Agarwal,Bahujan Samaj Party,150502,Result Declared,MUKESH RAJPUT,Bharatiya Janata Party
Fatehpur,49,NIRANJAN JYOTI,Bharatiya Janata Party,SUKHDEV PRASAD VERMA,Bahujan Samaj Party,187206,Result Declared,NIRANJAN JYOTI,Bharatiya Janata Party
Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,173106,Result Declared,BABULAL,Bharatiya Janata Party
Firozabad,20,Dr. Chandra Sen Jadon,Bharatiya Janata Party,Akshay Yadav,Samajwadi Party,114059,Result Declared,AKSHAY YADAV,Samajwadi Party
Gautam Buddha Nagar,13,Dr. MAHESH SHARMA,Bharatiya Janata Party,SATVEER,Bahujan Samaj Party,280212,Result Declared,DR.MAHESH  SHARMA,Bharatiya Janata Party
Ghaziabad,12,Vijay Kumar Singh,Bharatiya Janata Party,Suresh Bansal,Samajwadi Party,567260,Result Declared,VIJAY KUMAR SINGH,Bharatiya Janata Party
Ghazipur,75,AFZAL ANSARI,Bahujan Samaj Party,MANOJ SINHA,Bharatiya Janata Party,32452,Result Declared,MANOJ SINHA,Bharatiya Janata Party
Ghosi,70,ATUL KUMAR SINGH,Bahujan Samaj Party,HARINARAYAN,Bharatiya Janata Party,146015,Result Declared,HARINARAYAN RAJBHAR,Bharatiya Janata Party
Gonda,59,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,Bharatiya Janata Party,VINOD KUMAR ALIAS PANDIT SINGH,Samajwadi Party,160412,Result Declared,KIRTI VARDHAN SINGH,Bharatiya Janata Party
Gorakhpur,64,Ravindra Shyamnarayan Shukla alias Ravi Kishan,Bharatiya Janata Party,Rambhual Nishad,Samajwadi Party,312783,Result Declared,ADITYANATH,Bharatiya Janata Party
Hamirpur,47,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,DILIP KUMAR SINGH,Bahujan Samaj Party,266788,Result Declared,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party
Hardoi,31,Jai Prakash,Bharatiya Janata Party,Usha Verma,Samajwadi Party,81343,Result Declared,ANSHUL VERMA,Bharatiya Janata Party
Hathras,16,RAJVIR DILER,Bharatiya Janata Party,RAMJI LAL SUMAN,Samajwadi Party,326386,Result Declared,RAJESH KUMAR DIWAKER,Bharatiya Janata Party
Jalaun,45,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,AJAY SINGH (PANKAJ),Bahujan Samaj Party,287202,Result Declared,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party
Jaunpur,73,SHYAM SINGH YADAV,Bahujan Samaj Party,KRISHNA PRATAP SINGH K.P.,Bharatiya Janata Party,146310,Result Declared,KRISHNA PRATAP ''''''''K.P.'''''''',Bharatiya Janata Party
Jhansi,46,Anurag Sharma,Bharatiya Janata Party,Shyam Sundar Singh,Samajwadi Party,190467,Result Declared,UMA BHARATI,Bharatiya Janata Party
Kairana,2,Pradeep Kumar,Bharatiya Janata Party,Tabassum Begum,Samajwadi Party,236828,Result Declared,HUKUM SINGH,Bharatiya Janata Party
Kaiserganj,57,Brijbhusan Sharan Singh,Bharatiya Janata Party,Chandradev Ram Yadav,Bahujan Samaj Party,78218,Result Declared,BRIJ BHUSAN SHARAN SINGH,Bharatiya Janata Party
Kannauj,42,SUBRAT PATHAK,Bharatiya Janata Party,DIMPLE YADAV,Samajwadi Party,19907,Result Declared,DIMPLE YADAV,Samajwadi Party
Kanpur,43,Satyadev Pachauri,Bharatiya Janata Party,Sriprakash Jaiswal,Indian National Congress,222946,Result Declared,DR.MURLI MANOHAR JOSHI,Bharatiya Janata Party
Kaushambi,50,VINOD KUMAR SONKAR,Bharatiya Janata Party,INDRAJEET SAROJ,Samajwadi Party,42900,Result Declared,VINOD KUMAR SONKAR,Bharatiya Janata Party
Kheri,28,Ajay Kumar,Bharatiya Janata Party,Dr. Purvi Verma,Samajwadi Party,110274,Result Declared,AJAY KUMAR,Bharatiya Janata Party
Kushi Nagar,65,VIJAY KUMAR DUBEY,Bharatiya Janata Party,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,Samajwadi Party,85540,Result Declared,RAJESH PANDEY URF GUDDU,Bharatiya Janata Party
Lalganj,68,Sangeeta Azad,Bahujan Samaj Party,Neelam Sonker,Bharatiya Janata Party,63086,Result Declared,NEELAM SONKAR,Bharatiya Janata Party
Lucknow,35,Rajnath Singh,Bharatiya Janata Party,Poonam Shatrughan Sinha,Samajwadi Party,272749,Result Declared,RAJ NATH SINGH,Bharatiya Janata Party
Machhlishahr,74,Bholanath (B.P. Saroj),Bharatiya Janata Party,Tribhuvan Ram (T.Ram),Bahujan Samaj Party,172155,Result Declared,RAM CHARITRA NISHAD,Bharatiya Janata Party
Maharajganj,63,PANKAJ CHOUDHARY,Bharatiya Janata Party,AKHILESH,Samajwadi Party,240458,Result Declared,PANKAJ,Bharatiya Janata Party
Mainpuri,21,MULAYAM SINGH YADAV,Samajwadi Party,PREM SINGH SHAKYA,Bharatiya Janata Party,364666,Result Declared,MULAYAM SINGH YADAV,Samajwadi Party
Mathura,17,HEMA MALINI,Bharatiya Janata Party,KUNWAR NARENDRA SINGH,Rashtriya Lok Dal,330743,Result Declared,HEMA MALINI,Bharatiya Janata Party
Meerut,10,RAJENDRA AGARWAL,Bharatiya Janata Party,HAJI MOHAMMAD YAQOOB,Bahujan Samaj Party,232326,Result Declared,RAJENDRA AGARWAL,Bharatiya Janata Party
Mirzapur,79,Anupriya Singh Patel,Apna Dal (Soneylal),Ramcharitra Nishad,Samajwadi Party,219079,Result Declared,ANUPRIYA SINGH PATEL,Apna Dal
Misrikh,32,Ashok Kumar Rawat,Bharatiya Janata Party,Dr Neelu Satyarthi,Bahujan Samaj Party,87363,Result Declared,ANJU BALA,Bharatiya Janata Party
Mohanlalganj,34,Kaushal Kishore,Bharatiya Janata Party,C. L. Verma,Bahujan Samaj Party,145416,Result Declared,KAUSHAL KISHORE,Bharatiya Janata Party
Moradabad,6,Dr. S.T. HASAN,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,87504,Result Declared,KUNWER SARVESH KUMAR,Bharatiya Janata Party
Muzaffarnagar,3,Sanjeev Kumar Balyan,Bharatiya Janata Party,Ajit Singh,Rashtriya Lok Dal,401150,Result Declared,(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janata Party
Nagina,5,GIRISH CHANDRA,Bahujan Samaj Party,DR. YASHWANT SINGH,Bharatiya Janata Party,92390,Result Declared,YASHWANT SINGH,Bharatiya Janata Party
Phulpur,51,Keshari Devi Patel,Bharatiya Janata Party,Pandhari Yadav,Samajwadi Party,308308,Result Declared,KESHAV PRASAD MAURYA,Bharatiya Janata Party
Pilibhit,26,Feroze Varun Gandhi,Bharatiya Janata Party,Hemraj Verma,Samajwadi Party,307052,Result Declared,MANEKA SANJAY GANDHI,Bharatiya Janata Party
Pratapgarh,39,SANGAM LAL GUPTA,Bharatiya Janata Party,ASHOK TRIPATHI,Bahujan Samaj Party,168222,Result Declared,KUWAR HARIVANSH SINGH,Apna Dal
Rae Bareli,36,SONIA GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,352713,Result Declared,SONIA GANDHI,Indian National Congress
Rampur,7,Mohammad Azam Khan,Samajwadi Party,Jayaprada Nahata,Bharatiya Janata Party,23435,Result Declared,DR. NEPAL SINGH,Bharatiya Janata Party
Robertsganj,80,PAKAURI LAL KOL,Apna Dal (Soneylal),BHAI LAL,Samajwadi Party,190486,Result Declared,CHHOTELAL,Bharatiya Janata Party
Saharanpur,1,HAJI FAZLUR REHMAN,Bahujan Samaj Party,RAGHAV LAKHANPAL,Bharatiya Janata Party,65090,Result Declared,RAGHAV LAKHANPAL,Bharatiya Janata Party
Salempur,71,RAVINDER,Bharatiya Janata Party,R S KUSHWAHA,Bahujan Samaj Party,232342,Result Declared,RAVINDRA KUSHAWAHA,Bharatiya Janata Party
Sambhal,8,DR. SHAFIQUR REHMAN BARQ,Samajwadi Party,PARAMESHVAR LAL SAINI,Bharatiya Janata Party,5174,Result Declared,SATYAPAL SINGH,Bharatiya Janata Party
Sant Kabir Nagar,62,PRAVEEN KUMAR NISHAD,Bharatiya Janata Party,BHEESHMA SHANKAR,Bahujan Samaj Party,97978,Result Declared,SHARAD TRIPATHI,Bharatiya Janata Party
Shahjahanpur,27,Arun Kumar Sagar,Bharatiya Janata Party,Amar Chandra Jauhar,Bahujan Samaj Party,235529,Result Declared,KRISHNA RAJ,Bharatiya Janata Party
Shrawasti,58,RAM SHIROMANI,Bahujan Samaj Party,DADDAN MISHRA,Bharatiya Janata Party,85913,Result Declared,DADDAN MISHRA,Bharatiya Janata Party
Sitapur,30,Rajesh Verma,Bharatiya Janata Party,Nakul Dubey,Bahujan Samaj Party,51027,Result Declared,RAJESH VERMA,Bharatiya Janata Party
Sultanpur,38,MANEKA SANJAI GANDHI,Bharatiya Janata Party,"CHANDRA BHADRA SINGH ""SSONU""",Bahujan Samaj Party,178902,Result Declared,FEROZE VARUN GANDHI,Bharatiya Janata Party
Unnao,33,Swami Sakshi Ji Maharaj,Bharatiya Janata Party,Arun Shanker Shukla,Samajwadi Party,310173,Result Declared,SAKSHI MAHARAJ,Bharatiya Janata Party
Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,SHALINI YADAV,Samajwadi Party,371784,Result Declared,NARENDRA MODI,Bharatiya Janata Party
Basirhat,18,Nusrat Jahan Ruhi,All India Trinamool Congress,Sayantan Basu,Bharatiya Janata Party,109659,Result Declared,IDRIS ALI,All India Trinamool Congress
Birbhum,42,SATABDI ROY,All India Trinamool Congress,DUDH KUMAR MONDAL,Bharatiya Janata Party,67263,Result Declared,SATABDI ROY,All India Trinamool Congress
Bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,SHYAMAL SANTRA,All India Trinamool Congress,149685,Result Declared,KHAN SAUMITRA,All India Trinamool Congress
Bolpur,41,ASIT KUMAR MAL,All India Trinamool Congress,DAS RAMPRASAD,Bharatiya Janata Party,236112,Result Declared,ANUPAM HAZRA,All India Trinamool Congress
Burdwan - durgapur,39,S.S AHLUWALIA,Bharatiya Janata Party,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress,107331,Result Declared,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress
Cooch behar,1,NISITH PRAMANIK,Bharatiya Janata Party,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,87107,Result Declared,RENUKA SINHA,All India Trinamool Congress
Darjeeling,4,RAJU BISTA,Bharatiya Janata Party,AMAR SINGH RAI,All India Trinamool Congress,197239,Result Declared,S.S.AHLUWALIA,Bharatiya Janata Party
Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,NILANJAN ROY,Bharatiya Janata Party,71298,Result Declared,ABHISHEK BANERJEE,All India Trinamool Congress
Dum dum,16,SOUGATA RAY,All India Trinamool Congress,SAMIK BHATTACHARYA,Bharatiya Janata Party,154934,Result Declared,SAUGATA ROY,All India Trinamool Congress
Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,BHARATI GHOSH,Bharatiya Janata Party,260891,Result Declared,ADHIKARI DEEPAK (DEV),All India Trinamool Congress
Hooghly,28,LOCKET CHATTERJEE,Bharatiya Janata Party,DR. RATNA DE (NAG),All India Trinamool Congress,189084,Result Declared,DR. RATNA DE (NAG),All India Trinamool Congress
Howrah,25,Prasun Banerjee,All India Trinamool Congress,Rantidev Sengupta,Bharatiya Janata Party,196956,Result Declared,PRASUN BANERJEE,All India Trinamool Congress
Jadavpur,22,MIMI CHAKRABORTY,All India Trinamool Congress,ANUPAM HAZRA,Bharatiya Janata Party,125203,Result Declared,SUGATA BOSE,All India Trinamool Congress
Jalpaiguri,3,Dr. JAYANTA KUMAR ROY,Bharatiya Janata Party,BIJOY CHANDRA BARMAN,All India Trinamool Congress,69606,Result Declared,BIJOY CHANDRA BARMAN,All India Trinamool Congress
Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,MAFUJA KHATUN,Bharatiya Janata Party,8161,Result Declared,ABHIJIT MUKHERJEE,Indian National Congress
Jhargram,33,Kunar Hembram,Bharatiya Janata Party,Birbaha Saren,All India Trinamool Congress,347883,Result Declared,UMA SAREN,All India Trinamool Congress
Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,DR. ASHOK KANDARY,Bharatiya Janata Party,108384,Result Declared,PRATIMA MONDAL,All India Trinamool Congress
Kanthi,31,Adhikari Sisir,All India Trinamool Congress,Dr. Debasis Samanta,Bharatiya Janata Party,229490,Result Declared,ADHIKARI SISIR KUMAR,All India Trinamool Congress
Kolkata Dakshin,23,Mala Roy,All India Trinamool Congress,Chandra Kumar Bose,Bharatiya Janata Party,136339,Result Declared,SUBRATA BAKSHI,All India Trinamool Congress
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,96226,Result Declared,SUDIP BANDYOPADHYAY,All India Trinamool Congress
Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,KALYAN CHAUBEY,Bharatiya Janata Party,71255,Result Declared,TAPAS PAUL,All India Trinamool Congress
Maldaha Dakshin,8,ABU HASEM KHAN CHOWDHURY (DALU),Indian National Congress,SREERUPA MITRA CHAUDHURY,Bharatiya Janata Party,164111,Result Declared,ABU HASEM KHAN CHOWDHURY,Indian National Congress
Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,MAUSAM NOOR,All India Trinamool Congress,65705,Result Declared,MAUSAM NOOR,Indian National Congress
Mathurapur,20,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,SHYAMAPRASAD HALDER,Bharatiya Janata Party,138768,Result Declared,CHOUDHURY MOHAN JATUA,All India Trinamool Congress
Medinipur,34,Dilip Ghosh,Bharatiya Janata Party,Manas Ranjan Bhunia,All India Trinamool Congress,185128,Result Declared,SANDHYA ROY,All India Trinamool Congress
Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,"ABU HENA, S/O - LATE ABDUS SATTAR",Indian National Congress,18453,Result Declared,BADARUDDOZA KHAN,Communist Party of India  (Marxist)
Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,Dr. MRIGANKA MAHATO,All India Trinamool Congress,153877,Result Declared,DR. MRIGANKA MAHATO,All India Trinamool Congress
Raiganj,5,DEBASREE CHAUDHURI,Bharatiya Janata Party,AGARWAL KANAIALAL,All India Trinamool Congress,1634,Result Declared,MD. SALIM,Communist Party of India  (Marxist)
Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,RUPALI BISWAS,All India Trinamool Congress,201767,Result Declared,TAPAS MANDAL,All India Trinamool Congress
Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,DEBJIT SARKAR,Bharatiya Janata Party,152526,Result Declared,KALYAN BANERJEE,All India Trinamool Congress
Tamluk,30,Adhikari Dibyendu,All India Trinamool Congress,Sidharthashankar Naskar,Bharatiya Janata Party,246481,Result Declared,ADHIKARI SUVENDU,All India Trinamool Congress
Uluberia,26,SAJDA AHMED,All India Trinamool Congress,JOY BANERJEE,Bharatiya Janata Party,201222,Result Declared,SULTAN AHMED,All India Trinamool Congress
